CustomerID,Card Member,Age,Annual Income,Spending Score (1-100)
1,1,19.0,15.0,39.0
2,1,21.0,15.0,81.0
3,0,20.0,16.0,6.0
4,0,23.0,16.0,77.0
5,0,31.0,17.0,40.0
6,0,22.0,17.0,76.0
7,0,35.0,18.0,6.0
8,0,23.0,18.0,94.0
9,1,64.0,19.0,3.0
10,0,30.0,19.0,72.0
11,1,67.0,19.0,14.0
12,0,35.0,19.0,99.0
13,0,58.0,20.0,15.0
14,0,24.0,20.0,77.0
16,1,37.0,20.0,13.0
17,1,22.0,20.0,79.0
18,0,35.0,21.0,35.0
19,1,20.0,21.0,66.0
20,1,52.0,23.0,29.0
21,0,35.0,23.0,98.0
22,1,35.0,24.0,35.0
23,1,25.0,24.0,73.0
24,0,46.0,25.0,5.0
25,1,31.0,25.0,73.0
26,0,54.0,28.0,14.0
27,1,29.0,28.0,82.0
28,0,45.0,28.0,32.0
29,1,35.0,28.0,61.0
30,0,40.0,29.0,31.0
31,0,23.0,29.0,87.0
33,1,60.0,30.0,4.0
34,0,21.0,30.0,73.0
35,1,53.0,33.0,4.0
36,1,18.0,33.0,92.0
37,0,49.0,33.0,14.0
38,0,21.0,33.0,81.0
39,0,42.0,34.0,17.0
40,0,30.0,34.0,73.0
41,0,36.0,37.0,26.0
42,0,20.0,37.0,75.0
43,0,65.0,38.0,35.0
44,1,24.0,38.0,92.0
45,1,48.0,39.0,36.0
46,0,31.0,39.0,61.0
47,0,49.0,39.0,28.0
48,0,24.0,39.0,65.0
49,0,50.0,40.0,55.0
50,0,27.0,40.0,47.0
51,0,29.0,40.0,42.0
52,0,31.0,40.0,42.0
53,0,49.0,42.0,52.0
54,1,33.0,42.0,60.0
55,0,31.0,43.0,54.0
56,1,59.0,43.0,60.0
57,0,50.0,43.0,45.0
58,1,47.0,43.0,41.0
59,0,51.0,44.0,50.0
60,1,69.0,44.0,46.0
61,0,27.0,46.0,51.0
62,1,53.0,46.0,46.0
63,1,70.0,46.0,56.0
64,1,19.0,46.0,55.0
65,0,67.0,47.0,52.0
66,0,54.0,47.0,59.0
67,1,63.0,48.0,51.0
68,1,18.0,48.0,59.0
69,0,43.0,48.0,50.0
70,0,68.0,48.0,48.0
71,1,19.0,48.0,59.0
72,0,32.0,48.0,47.0
73,1,70.0,49.0,55.0
74,0,47.0,49.0,42.0
75,0,60.0,50.0,49.0
76,0,60.0,50.0,56.0
77,1,59.0,54.0,47.0
78,1,26.0,54.0,54.0
79,0,45.0,54.0,53.0
80,1,40.0,54.0,48.0
81,0,23.0,54.0,52.0
82,0,49.0,54.0,42.0
83,1,57.0,54.0,51.0
84,1,38.0,54.0,55.0
85,1,67.0,54.0,41.0
86,0,46.0,54.0,44.0
87,0,21.0,54.0,57.0
88,1,48.0,54.0,46.0
89,0,55.0,57.0,58.0
90,0,22.0,57.0,55.0
91,0,34.0,58.0,60.0
92,0,50.0,58.0,46.0
93,0,68.0,59.0,55.0
94,1,18.0,59.0,41.0
95,1,48.0,60.0,49.0
96,0,40.0,60.0,40.0
97,0,32.0,60.0,42.0
98,1,24.0,60.0,52.0
99,0,47.0,60.0,47.0
100,0,27.0,60.0,50.0
101,1,48.0,61.0,42.0
102,1,20.0,61.0,49.0
103,0,23.0,62.0,41.0
104,0,49.0,62.0,48.0
105,1,67.0,62.0,59.0
106,1,26.0,62.0,55.0
107,1,49.0,62.0,56.0
108,0,21.0,62.0,42.0
109,0,66.0,63.0,50.0
110,1,54.0,63.0,46.0
111,1,68.0,63.0,43.0
112,1,66.0,63.0,48.0
